,from,to,distance_m,distance_km,duree_pied_min,duree_velo_min,duree_voiture_min
1237,Tombe de la Nécropole punique,Tophet,1793,1.79,21.5,8.3,3.6
1238,Tombe de la Nécropole punique,Ports puniques,1457,1.46,17.5,6.7,2.9
1239,Tombe de la Nécropole punique,Port militaire,1355,1.36,16.3,6.3,2.7
1240,Tombe de la Nécropole punique,Port marchand,1520,1.52,18.2,7.0,3.0
1241,Tombe de la Nécropole punique,Ilot de l’Amirauté,1326,1.33,15.9,6.1,2.7
1242,Tombe de la Nécropole punique,Temple,1342,1.34,16.1,6.2,2.7
1243,Tombe de la Nécropole punique,Hangar,1357,1.36,16.3,6.3,2.7
1244,Tombe de la Nécropole punique,Colline de Byrsa,996,1.0,12.0,4.6,2.0
1245,Tombe de la Nécropole punique,Bibliotheque Tabularium,961,0.96,11.5,4.4,1.9
1246,Tombe de la Nécropole punique,Temple prostyle,995,0.99,11.9,4.6,2.0
1247,Tombe de la Nécropole punique,Grand Temple d'Esculape (d'Eshmoun),911,0.91,10.9,4.2,1.8
1248,Tombe de la Nécropole punique,Emplacement probable de la Basilique judiciaire,812,0.81,9.7,3.7,1.6
1249,Tombe de la Nécropole punique,"Absides ""Beule"" en contrebas",795,0.79,9.5,3.7,1.6
1250,Tombe de la Nécropole punique,Tombeaux puniques,984,0.98,11.8,4.5,2.0
1251,Tombe de la Nécropole punique,Musee national,877,0.88,10.5,4.0,1.8
1252,Tombe de la Nécropole punique,Tombeau punique (Ariche),967,0.97,11.6,4.5,1.9
1253,Tombe de la Nécropole punique,Emplacement de la Chapelle Saint Louis,818,0.82,9.8,3.8,1.6
1254,Tombe de la Nécropole punique,Emplacement probable de la curie,968,0.97,11.6,4.5,1.9
1255,Tombe de la Nécropole punique,Quartier Punique (Quartier Hannibal),913,0.91,11.0,4.2,1.8
1256,Tombe de la Nécropole punique,Cathedrale Saint Louis,961,0.96,11.5,4.4,1.9
1257,Tombe de la Nécropole punique,Beit El Hikma,400,0.4,4.8,1.8,0.8
1258,Tombe de la Nécropole punique,Musee Oceanographique (Dar El Hout),1490,1.49,17.9,6.9,3.0
1259,Tombe de la Nécropole punique,Amphitheatre De  Carthage,1671,1.67,20.1,7.7,3.3
1260,Tombe de la Nécropole punique,Basilique Damous Karita,768,0.77,9.2,3.5,1.5
1261,Tombe de la Nécropole punique,Rotonde ( Rotonde de Damous El Karita),731,0.73,8.8,3.4,1.5
1262,Tombe de la Nécropole punique,Basilique Maiorum,1388,1.39,16.7,6.4,2.8
1263,Tombe de la Nécropole punique,Basilique Saint Cyprien,1052,1.05,12.6,4.9,2.1
1264,Tombe de la Nécropole punique,Musee Paleochretien Basilique de Cartagena,1065,1.06,12.8,4.9,2.1
1265,Tombe de la Nécropole punique,Citernes de la Malaga,1399,1.4,16.8,6.5,2.8
1266,Tombe de la Nécropole punique,Cirque,1728,1.73,20.7,8.0,3.5
1267,Tombe de la Nécropole punique,Edifice à colonnes (Jockey club de Carthage),757,0.76,9.1,3.5,1.5
1268,Tombe de la Nécropole punique,Maison de la chasse aux sangliers,530,0.53,6.4,2.4,1.1
1269,Tombe de la Nécropole punique,Odeon,507,0.51,6.1,2.3,1.0
1270,Tombe de la Nécropole punique,Mosquée Imam Malek Ibn Anas,605,0.61,7.3,2.8,1.2
1271,Tombe de la Nécropole punique,Monument circulaire,671,0.67,8.1,3.1,1.3
1272,Tombe de la Nécropole punique,Monument circulaire(Martyrium),592,0.59,7.1,2.7,1.2
1273,Tombe de la Nécropole punique,Basilique chretienne,667,0.67,8.0,3.1,1.3
1274,Tombe de la Nécropole punique,Triconque,621,0.62,7.5,2.9,1.2
1275,Tombe de la Nécropole punique,Basilique Bir Ftouha,1647,1.65,19.8,7.6,3.3
1276,Tombe de la Nécropole punique,Maison de la course de chars,600,0.6,7.2,2.8,1.2
1277,Tombe de la Nécropole punique,Monument a absides,624,0.62,7.5,2.9,1.2
1278,Tombe de la Nécropole punique,Basilique Bir Messaouda,745,0.74,8.9,3.4,1.5
1279,Tombe de la Nécropole punique,Quartier Didon,644,0.64,7.7,3.0,1.3
1280,Tombe de la Nécropole punique,Temple d'Apollon,667,0.67,8.0,3.1,1.3
1281,Tombe de la Nécropole punique,Citernes Dar Saniet,1317,1.32,15.8,6.1,2.6
1282,Tombe de la Nécropole punique,Crypte archeologique,777,0.78,9.3,3.6,1.6
1283,Tombe de la Nécropole punique,Chapelle sainte monique,883,0.88,10.6,4.1,1.8
1284,Tombe de la Nécropole punique,Palais Essaada,2845,2.84,34.1,13.1,5.7
1285,Tombe de la Nécropole punique,Palais Abdellia,2916,2.92,35.0,13.5,5.8
1286,Tombe de la Nécropole punique,Arrondissement de la Marsa Medina,3306,3.31,39.7,15.3,6.6
1287,Tombe de la Nécropole punique,Palais Ahmed Bey,3167,3.17,38.0,14.6,6.3
1288,Tombe de la Nécropole punique,Cafe Houas,3138,3.14,37.7,14.5,6.3
1289,Tombe de la Nécropole punique,Cafe Safsaf,3156,3.16,37.9,14.6,6.3
1290,Tombe de la Nécropole punique,Kobbet el Houwa,3448,3.45,41.4,15.9,6.9
1291,Tombe de la Nécropole punique,Cafe El Hafsi,3170,3.17,38.0,14.6,6.3
1292,Tombe de la Nécropole punique,Palais Ksar Ettej,2989,2.99,35.9,13.8,6.0
1293,Tombe de la Nécropole punique,Le Vieux Souk,3097,3.1,37.2,14.3,6.2
1294,Tombe de la Nécropole punique,Les vistiges de plage d'amilcar (carthage),1513,1.51,18.2,7.0,3.0
1295,Tombe de la Nécropole punique,Acropolium de Carthage,956,0.96,11.5,4.4,1.9
1296,Basiliques byzantines,Theatre,376,0.38,4.5,1.7,0.8
1297,Basiliques byzantines,Parc des villas romaines,207,0.21,2.5,1.0,0.4
1298,Basiliques byzantines,Monastere de Bigua (maison de Tellus),204,0.2,2.5,0.9,0.4
1299,Basiliques byzantines,Maison du Cryptoportique,270,0.27,3.2,1.2,0.5
1300,Basiliques byzantines,Maison de la Basilique,358,0.36,4.3,1.7,0.7
1301,Basiliques byzantines,Maison de la Volière,331,0.33,4.0,1.5,0.7
1302,Basiliques byzantines,Maison de la Rotonde,311,0.31,3.7,1.4,0.6
1303,Basiliques byzantines,Maison des Lions,366,0.37,4.4,1.7,0.7
1304,Basiliques byzantines,Nécropole punique (Parc des villas romaines),308,0.31,3.7,1.4,0.6
1305,Basiliques byzantines,Nymphée,218,0.22,2.6,1.0,0.4
1306,Basiliques byzantines,Muraille de Thedose,600,0.6,7.2,2.8,1.2
1307,Basiliques byzantines,Parc des thermes d'Antonin,110,0.11,1.3,0.5,0.2
1308,Basiliques byzantines,Chapelle d’Asterius,63,0.06,0.8,0.3,0.1
1309,Basiliques byzantines,Four punique,27,0.03,0.3,0.1,0.1
1310,Basiliques byzantines,Maison de la cachette,64,0.06,0.8,0.3,0.1
1311,Basiliques byzantines,Tombe de la Nécropole punique,133,0.13,1.6,0.6,0.3
1312,Basiliques byzantines,Scholla,42,0.04,0.5,0.2,0.1
1313,Basiliques byzantines,Maison de Dionysos,83,0.08,1.0,0.4,0.2
1314,Basiliques byzantines,Nécropole punique (Parc des thermes d'antonin),128,0.13,1.5,0.6,0.3
1315,Basiliques byzantines,Thermes d'Antonin,209,0.21,2.5,1.0,0.4
1316,Basiliques byzantines,Latrines publiques,175,0.17,2.1,0.8,0.3
1317,Basiliques byzantines,Quartier Magon,392,0.39,4.7,1.8,0.8
1318,Basiliques byzantines,Tophet,1720,1.72,20.6,7.9,3.4
1319,Basiliques byzantines,Ports puniques,1392,1.39,16.7,6.4,2.8
1320,Basiliques byzantines,Port militaire,1286,1.29,15.4,5.9,2.6
1321,Basiliques byzantines,Port marchand,1456,1.46,17.5,6.7,2.9
1322,Basiliques byzantines,Ilot de l’Amirauté,1254,1.25,15.1,5.8,2.5
1323,Basiliques byzantines,Temple,1270,1.27,15.2,5.9,2.5
1324,Basiliques byzantines,Hangar,1282,1.28,15.4,5.9,2.6
1325,Basiliques byzantines,Colline de Byrsa,865,0.87,10.4,4.0,1.7
1326,Basiliques byzantines,Bibliotheque Tabularium,831,0.83,10.0,3.8,1.7
1327,Basiliques byzantines,Temple prostyle,866,0.87,10.4,4.0,1.7
1328,Basiliques byzantines,Grand Temple d'Esculape (d'Eshmoun),783,0.78,9.4,3.6,1.6
1329,Basiliques byzantines,Emplacement probable de la Basilique judiciaire,684,0.68,8.2,3.2,1.4
1330,Basiliques byzantines,"Absides ""Beule"" en contrebas",667,0.67,8.0,3.1,1.3
1331,Basiliques byzantines,Tombeaux puniques,856,0.86,10.3,4.0,1.7
1332,Basiliques byzantines,Musee national,747,0.75,9.0,3.4,1.5
1333,Basiliques byzantines,Tombeau punique (Ariche),836,0.84,10.0,3.9,1.7
1334,Basiliques byzantines,Emplacement de la Chapelle Saint Louis,689,0.69,8.3,3.2,1.4
1335,Basiliques byzantines,Emplacement probable de la curie,837,0.84,10.0,3.9,1.7
1336,Basiliques byzantines,Quartier Punique (Quartier Hannibal),786,0.79,9.4,3.6,1.6
1337,Basiliques byzantines,Cathedrale Saint Louis,829,0.83,9.9,3.8,1.7
1338,Basiliques byzantines,Beit El Hikma,370,0.37,4.4,1.7,0.7
1339,Basiliques byzantines,Musee Oceanographique (Dar El Hout),1426,1.43,17.1,6.6,2.9
1340,Basiliques byzantines,Amphitheatre De  Carthage,1539,1.54,18.5,7.1,3.1
1341,Basiliques byzantines,Basilique Damous Karita,744,0.74,8.9,3.4,1.5
1342,Basiliques byzantines,Rotonde ( Rotonde de Damous El Karita),687,0.69,8.2,3.2,1.4
1343,Basiliques byzantines,Basilique Maiorum,1400,1.4,16.8,6.5,2.8
1344,Basiliques byzantines,Basilique Saint Cyprien,1103,1.1,13.2,5.1,2.2
1345,Basiliques byzantines,Musee Paleochretien Basilique de Cartagena,971,0.97,11.7,4.5,1.9
1346,Basiliques byzantines,Citernes de la Malaga,1277,1.28,15.3,5.9,2.6
1347,Basiliques byzantines,Cirque,1599,1.6,19.2,7.4,3.2
1348,Basiliques byzantines,Edifice à colonnes (Jockey club de Carthage),631,0.63,7.6,2.9,1.3
1349,Basiliques byzantines,Maison de la chasse aux sangliers,404,0.4,4.8,1.9,0.8
1350,Basiliques byzantines,Odeon,449,0.45,5.4,2.1,0.9
1351,Basiliques byzantines,Mosquée Imam Malek Ibn Anas,521,0.52,6.2,2.4,1.0
1352,Basiliques byzantines,Monument circulaire,558,0.56,6.7,2.6,1.1
1353,Basiliques byzantines,Monument circulaire(Martyrium),484,0.48,5.8,2.2,1.0
1354,Basiliques byzantines,Basilique chretienne,558,0.56,6.7,2.6,1.1
1355,Basiliques byzantines,Triconque,513,0.51,6.2,2.4,1.0
1356,Basiliques byzantines,Basilique Bir Ftouha,1597,1.6,19.2,7.4,3.2
1357,Basiliques byzantines,Maison de la course de chars,469,0.47,5.6,2.2,0.9
1358,Basiliques byzantines,Monument a absides,493,0.49,5.9,2.3,1.0
1359,Basiliques byzantines,Basilique Bir Messaouda,649,0.65,7.8,3.0,1.3
1360,Basiliques byzantines,Quartier Didon,555,0.56,6.7,2.6,1.1
1361,Basiliques byzantines,Temple d'Apollon,579,0.58,7.0,2.7,1.2
1362,Basiliques byzantines,Citernes Dar Saniet,1382,1.38,16.6,6.4,2.8
1363,Basiliques byzantines,Crypte archeologique,644,0.64,7.7,3.0,1.3
1364,Basiliques byzantines,Chapelle sainte monique,961,0.96,11.5,4.4,1.9
1365,Basiliques byzantines,Palais Essaada,2836,2.84,34.0,13.1,5.7
1366,Basiliques byzantines,Palais Abdellia,2889,2.89,34.7,13.3,5.8
1367,Basiliques byzantines,Arrondissement de la Marsa Medina,3295,3.29,39.5,15.2,6.6
1368,Basiliques byzantines,Palais Ahmed Bey,3164,3.16,38.0,14.6,6.3
1369,Basiliques byzantines,Cafe Houas,3136,3.14,37.6,14.5,6.3
1370,Basiliques byzantines,Cafe Safsaf,3155,3.16,37.9,14.6,6.3
1371,Basiliques byzantines,Kobbet el Houwa,3456,3.46,41.5,16.0,6.9
1372,Basiliques byzantines,Cafe El Hafsi,3176,3.18,38.1,14.7,6.4
1373,Basiliques byzantines,Palais Ksar Ettej,2987,2.99,35.8,13.8,6.0
1374,Basiliques byzantines,Le Vieux Souk,3097,3.1,37.2,14.3,6.2
1375,Basiliques byzantines,Les vistiges de plage d'amilcar (carthage),1580,1.58,19.0,7.3,3.2
1376,Basiliques byzantines,Acropolium de Carthage,824,0.82,9.9,3.8,1.6
1377,Scholla,Theatre,415,0.42,5.0,1.9,0.8
1378,Scholla,Parc des villas romaines,248,0.25,3.0,1.1,0.5
1379,Scholla,Monastere de Bigua (maison de Tellus),241,0.24,2.9,1.1,0.5
1380,Scholla,Maison du Cryptoportique,307,0.31,3.7,1.4,0.6
1381,Scholla,Maison de la Basilique,396,0.4,4.7,1.8,0.8
1382,Scholla,Maison de la Volière,367,0.37,4.4,1.7,0.7
1383,Scholla,Maison de la Rotonde,344,0.34,4.1,1.6,0.7
1384,Scholla,Maison des Lions,393,0.39,4.7,1.8,0.8
1385,Scholla,Nécropole punique (Parc des villas romaines),349,0.35,4.2,1.6,0.7
1386,Scholla,Nymphée,258,0.26,3.1,1.2,0.5
1387,Scholla,Muraille de Thedose,638,0.64,7.7,2.9,1.3
1388,Scholla,Parc des thermes d'Antonin,71,0.07,0.9,0.3,0.1
1389,Scholla,Chapelle d’Asterius,22,0.02,0.3,0.1,0.0
1390,Scholla,Four punique,53,0.05,0.6,0.2,0.1
1391,Scholla,Maison de la cachette,103,0.1,1.2,0.5,0.2
1392,Scholla,Tombe de la Nécropole punique,109,0.11,1.3,0.5,0.2
1393,Scholla,Basiliques byzantines,42,0.04,0.5,0.2,0.1
1394,Scholla,Maison de Dionysos,71,0.07,0.8,0.3,0.1
1395,Scholla,Nécropole punique (Parc des thermes d'antonin),103,0.1,1.2,0.5,0.2
1396,Scholla,Thermes d'Antonin,177,0.18,2.1,0.8,0.4
1397,Scholla,Latrines publiques,133,0.13,1.6,0.6,0.3
1398,Scholla,Quartier Magon,365,0.37,4.4,1.7,0.7
1399,Scholla,Tophet,1709,1.71,20.5,7.9,3.4
1400,Scholla,Ports puniques,1378,1.38,16.5,6.4,2.8
1401,Scholla,Port militaire,1274,1.27,15.3,5.9,2.5
1402,Scholla,Port marchand,1441,1.44,17.3,6.7,2.9
1403,Scholla,Ilot de l’Amirauté,1243,1.24,14.9,5.7,2.5
1404,Scholla,Temple,1259,1.26,15.1,5.8,2.5
1405,Scholla,Hangar,1272,1.27,15.3,5.9,2.5
1406,Scholla,Colline de Byrsa,889,0.89,10.7,4.1,1.8
1407,Scholla,Bibliotheque Tabularium,852,0.85,10.2,3.9,1.7
1408,Scholla,Temple prostyle,886,0.89,10.6,4.1,1.8
1409,Scholla,Grand Temple d'Esculape (d'Eshmoun),802,0.8,9.6,3.7,1.6
1410,Scholla,Emplacement probable de la Basilique judiciaire,703,0.7,8.4,3.2,1.4
1411,Scholla,"Absides ""Beule"" en contrebas",686,0.69,8.2,3.2,1.4
1412,Scholla,Tombeaux puniques,875,0.88,10.5,4.0,1.8
1413,Scholla,Musee national,769,0.77,9.2,3.5,1.5
1414,Scholla,Tombeau punique (Ariche),859,0.86,10.3,4.0,1.7
1415,Scholla,Emplacement de la Chapelle Saint Louis,709,0.71,8.5,3.3,1.4
1416,Scholla,Emplacement probable de la curie,860,0.86,10.3,4.0,1.7
1417,Scholla,Quartier Punique (Quartier Hannibal),804,0.8,9.6,3.7,1.6
1418,Scholla,Cathedrale Saint Louis,854,0.85,10.3,3.9,1.7
1419,Scholla,Beit El Hikma,342,0.34,4.1,1.6,0.7
1420,Scholla,Musee Oceanographique (Dar El Hout),1412,1.41,16.9,6.5,2.8
1421,Scholla,Amphitheatre De  Carthage,1571,1.57,18.9,7.3,3.1
1422,Scholla,Basilique Damous Karita,778,0.78,9.3,3.6,1.6
1423,Scholla,Rotonde ( Rotonde de Damous El Karita),724,0.72,8.7,3.3,1.4
1424,Scholla,Basilique Maiorum,1427,1.43,17.1,6.6,2.9
1425,Scholla,Basilique Saint Cyprien,1119,1.12,13.4,5.2,2.2
1426,Scholla,Musee Paleochretien Basilique de Cartagena,968,0.97,11.6,4.5,1.9
1427,Scholla,Citernes de la Malaga,1316,1.32,15.8,6.1,2.6
1428,Scholla,Cirque,1619,1.62,19.4,7.5,3.2
1429,Scholla,Edifice à colonnes (Jockey club de Carthage),668,0.67,8.0,3.1,1.3
1430,Scholla,Maison de la chasse aux sangliers,442,0.44,5.3,2.0,0.9
1431,Scholla,Odeon,487,0.49,5.8,2.2,1.0
1432,Scholla,Mosquée Imam Malek Ibn Anas,562,0.56,6.7,2.6,1.1
1433,Scholla,Monument circulaire,599,0.6,7.2,2.8,1.2
1434,Scholla,Monument circulaire(Martyrium),526,0.53,6.3,2.4,1.1
1435,Scholla,Basilique chretienne,600,0.6,7.2,2.8,1.2
1436,Scholla,Triconque,555,0.55,6.7,2.6,1.1
1437,Scholla,Basilique Bir Ftouha,1636,1.64,19.6,7.5,3.3
1438,Scholla,Maison de la course de chars,493,0.49,5.9,2.3,1.0
1439,Scholla,Monument a absides,518,0.52,6.2,2.4,1.0
1440,Scholla,Basilique Bir Messaouda,647,0.65,7.8,3.0,1.3
1441,Scholla,Quartier Didon,549,0.55,6.6,2.5,1.1
1442,Scholla,Temple d'Apollon,573,0.57,6.9,2.6,1.1
1443,Scholla,Citernes Dar Saniet,1394,1.39,16.7,6.4,2.8
1444,Scholla,Crypte archeologique,672,0.67,8.1,3.1,1.3
1445,Scholla,Chapelle sainte monique,968,0.97,11.6,4.5,1.9
1446,Scholla,Palais Essaada,2868,2.87,34.4,13.2,5.7
1447,Scholla,Palais Abdellia,2925,2.92,35.1,13.5,5.8
1448,Scholla,Arrondissement de la Marsa Medina,3327,3.33,39.9,15.4,6.7
1449,Scholla,Palais Ahmed Bey,3195,3.2,38.3,14.7,6.4
1450,Scholla,Cafe Houas,3167,3.17,38.0,14.6,6.3
1451,Scholla,Cafe Safsaf,3186,3.19,38.2,14.7,6.4
1452,Scholla,Kobbet el Houwa,3485,3.48,41.8,16.1,7.0
1453,Scholla,Cafe El Hafsi,3205,3.21,38.5,14.8,6.4
1454,Scholla,Palais Ksar Ettej,3018,3.02,36.2,13.9,6.0
1455,Scholla,Le Vieux Souk,3127,3.13,37.5,14.4,6.3
1456,Scholla,Les vistiges de plage d'amilcar (carthage),1591,1.59,19.1,7.3,3.2
1457,Scholla,Acropolium de Carthage,850,0.85,10.2,3.9,1.7
1458,Maison de Dionysos,Theatre,445,0.45,5.3,2.1,0.9
1459,Maison de Dionysos,Parc des villas romaines,242,0.24,2.9,1.1,0.5
1460,Maison de Dionysos,Monastere de Bigua (maison de Tellus),220,0.22,2.6,1.0,0.4
1461,Maison de Dionysos,Maison du Cryptoportique,286,0.29,3.4,1.3,0.6
1462,Maison de Dionysos,Maison de la Basilique,373,0.37,4.5,1.7,0.7
1463,Maison de Dionysos,Maison de la Volière,338,0.34,4.1,1.6,0.7
1464,Maison de Dionysos,Maison de la Rotonde,311,0.31,3.7,1.4,0.6
1465,Maison de Dionysos,Maison des Lions,345,0.35,4.1,1.6,0.7
1466,Maison de Dionysos,Nécropole punique (Parc des villas romaines),342,0.34,4.1,1.6,0.7
1467,Maison de Dionysos,Nymphée,249,0.25,3.0,1.1,0.5
1468,Maison de Dionysos,Muraille de Thedose,617,0.62,7.4,2.8,1.2
1469,Maison de Dionysos,Parc des thermes d'Antonin,120,0.12,1.4,0.6,0.2
1470,Maison de Dionysos,Chapelle d’Asterius,81,0.08,1.0,0.4,0.2
1471,Maison de Dionysos,Four punique,108,0.11,1.3,0.5,0.2
1472,Maison de Dionysos,Maison de la cachette,142,0.14,1.7,0.7,0.3
1473,Maison de Dionysos,Tombe de la Nécropole punique,53,0.05,0.6,0.2,0.1
1474,Maison de Dionysos,Basiliques byzantines,83,0.08,1.0,0.4,0.2
1475,Maison de Dionysos,Scholla,71,0.07,0.8,0.3,0.1
1476,Maison de Dionysos,Nécropole punique (Parc des thermes d'antonin),51,0.05,0.6,0.2,0.1
1477,Maison de Dionysos,Thermes d'Antonin,137,0.14,1.6,0.6,0.3
1478,Maison de Dionysos,Latrines publiques,141,0.14,1.7,0.7,0.3
1479,Maison de Dionysos,Quartier Magon,423,0.42,5.1,2.0,0.8
1480,Maison de Dionysos,Tophet,1777,1.78,21.3,8.2,3.6
1481,Maison de Dionysos,Ports puniques,1444,1.44,17.3,6.7,2.9
1482,Maison de Dionysos,Port militaire,1341,1.34,16.1,6.2,2.7
1483,Maison de Dionysos,Port marchand,1507,1.51,18.1,7.0,3.0
1484,Maison de Dionysos,Ilot de l’Amirauté,1310,1.31,15.7,6.0,2.6
1485,Maison de Dionysos,Temple,1326,1.33,15.9,6.1,2.7
1486,Maison de Dionysos,Hangar,1340,1.34,16.1,6.2,2.7
1487,Maison de Dionysos,Colline de Byrsa,948,0.95,11.4,4.4,1.9
1488,Maison de Dionysos,Bibliotheque Tabularium,914,0.91,11.0,4.2,1.8
1489,Maison de Dionysos,Temple prostyle,949,0.95,11.4,4.4,1.9
1490,Maison de Dionysos,Grand Temple d'Esculape (d'Eshmoun),865,0.87,10.4,4.0,1.7
1491,Maison de Dionysos,Emplacement probable de la Basilique judiciaire,767,0.77,9.2,3.5,1.5
1492,Maison de Dionysos,"Absides ""Beule"" en contrebas",750,0.75,9.0,3.5,1.5
1493,Maison de Dionysos,Tombeaux puniques,939,0.94,11.3,4.3,1.9
1494,Maison de Dionysos,Musee national,830,0.83,10.0,3.8,1.7
1495,Maison de Dionysos,Tombeau punique (Ariche),920,0.92,11.0,4.2,1.8
1496,Maison de Dionysos,Emplacement de la Chapelle Saint Louis,772,0.77,9.3,3.6,1.5
1497,Maison de Dionysos,Emplacement probable de la curie,920,0.92,11.0,4.2,1.8
1498,Maison de Dionysos,Quartier Punique (Quartier Hannibal),868,0.87,10.4,4.0,1.7
1499,Maison de Dionysos,Cathedrale Saint Louis,912,0.91,10.9,4.2,1.8
1500,Maison de Dionysos,Beit El Hikma,398,0.4,4.8,1.8,0.8
1501,Maison de Dionysos,Musee Oceanographique (Dar El Hout),1478,1.48,17.7,6.8,3.0
1502,Maison de Dionysos,Amphitheatre De  Carthage,1619,1.62,19.4,7.5,3.2
1503,Maison de Dionysos,Basilique Damous Karita,741,0.74,8.9,3.4,1.5
1504,Maison de Dionysos,Rotonde ( Rotonde de Damous El Karita),697,0.7,8.4,3.2,1.4
1505,Maison de Dionysos,Basilique Maiorum,1376,1.38,16.5,6.3,2.8
1506,Maison de Dionysos,Basilique Saint Cyprien,1056,1.06,12.7,4.9,2.1
1507,Maison de Dionysos,Musee Paleochretien Basilique de Cartagena,1039,1.04,12.5,4.8,2.1
1508,Maison de Dionysos,Citernes de la Malaga,1346,1.35,16.2,6.2,2.7
1509,Maison de Dionysos,Cirque,1682,1.68,20.2,7.8,3.4
1510,Maison de Dionysos,Edifice à colonnes (Jockey club de Carthage),704,0.7,8.5,3.3,1.4
1511,Maison de Dionysos,Maison de la chasse aux sangliers,477,0.48,5.7,2.2,1.0
1512,Maison de Dionysos,Odeon,467,0.47,5.6,2.2,0.9
1513,Maison de Dionysos,Mosquée Imam Malek Ibn Anas,559,0.56,6.7,2.6,1.1
1514,Maison de Dionysos,Monument circulaire,619,0.62,7.4,2.9,1.2
1515,Maison de Dionysos,Monument circulaire(Martyrium),541,0.54,6.5,2.5,1.1
1516,Maison de Dionysos,Basilique chretienne,615,0.62,7.4,2.8,1.2
1517,Maison de Dionysos,Triconque,570,0.57,6.8,2.6,1.1
1518,Maison de Dionysos,Basilique Bir Ftouha,1613,1.61,19.4,7.4,3.2
1519,Maison de Dionysos,Maison de la course de chars,552,0.55,6.6,2.5,1.1
1520,Maison de Dionysos,Monument a absides,576,0.58,6.9,2.7,1.2
1521,Maison de Dionysos,Basilique Bir Messaouda,717,0.72,8.6,3.3,1.4
1522,Maison de Dionysos,Quartier Didon,619,0.62,7.4,2.9,1.2
1523,Maison de Dionysos,Temple d'Apollon,643,0.64,7.7,3.0,1.3
1524,Maison de Dionysos,Citernes Dar Saniet,1327,1.33,15.9,6.1,2.7
1525,Maison de Dionysos,Crypte archeologique,726,0.73,8.7,3.4,1.5
1526,Maison de Dionysos,Chapelle sainte monique,899,0.9,10.8,4.1,1.8
1527,Maison de Dionysos,Palais Essaada,2825,2.83,33.9,13.0,5.7
1528,Maison de Dionysos,Palais Abdellia,2890,2.89,34.7,13.3,5.8
1529,Maison de Dionysos,Arrondissement de la Marsa Medina,3285,3.29,39.4,15.2,6.6
1530,Maison de Dionysos,Palais Ahmed Bey,3150,3.15,37.8,14.5,6.3
1531,Maison de Dionysos,Cafe Houas,3121,3.12,37.5,14.4,6.2
1532,Maison de Dionysos,Cafe Safsaf,3140,3.14,37.7,14.5,6.3
1533,Maison de Dionysos,Kobbet el Houwa,3435,3.43,41.2,15.9,6.9
1534,Maison de Dionysos,Cafe El Hafsi,3156,3.16,37.9,14.6,6.3
1535,Maison de Dionysos,Palais Ksar Ettej,2972,2.97,35.7,13.7,5.9
1536,Maison de Dionysos,Le Vieux Souk,3081,3.08,37.0,14.2,6.2
1537,Maison de Dionysos,Les vistiges de plage d'amilcar (carthage),1524,1.52,18.3,7.0,3.0
1538,Maison de Dionysos,Acropolium de Carthage,907,0.91,10.9,4.2,1.8
1539,Nécropole punique (Parc des thermes d'antonin),Theatre,496,0.5,6.0,2.3,1.0
1540,Nécropole punique (Parc des thermes d'antonin),Parc des villas romaines,291,0.29,3.5,1.3,0.6
1541,Nécropole punique (Parc des thermes d'antonin),Monastere de Bigua (maison de Tellus),264,0.26,3.2,1.2,0.5
1542,Nécropole punique (Parc des thermes d'antonin),Maison du Cryptoportique,328,0.33,3.9,1.5,0.7
1543,Nécropole punique (Parc des thermes d'antonin),Maison de la Basilique,414,0.41,5.0,1.9,0.8
1544,Nécropole punique (Parc des thermes d'antonin),Maison de la Volière,377,0.38,4.5,1.7,0.8
1545,Nécropole punique (Parc des thermes d'antonin),Maison de la Rotonde,348,0.35,4.2,1.6,0.7
1546,Nécropole punique (Parc des thermes d'antonin),Maison des Lions,371,0.37,4.5,1.7,0.7
1547,Nécropole punique (Parc des thermes d'antonin),Nécropole punique (Parc des villas romaines),390,0.39,4.7,1.8,0.8
1548,Nécropole punique (Parc des thermes d'antonin),Nymphée,296,0.3,3.6,1.4,0.6
1549,Nécropole punique (Parc des thermes d'antonin),Muraille de Thedose,657,0.66,7.9,3.0,1.3
1550,Nécropole punique (Parc des thermes d'antonin),Parc des thermes d'Antonin,124,0.12,1.5,0.6,0.2
1551,Nécropole punique (Parc des thermes d'antonin),Chapelle d’Asterius,103,0.1,1.2,0.5,0.2
1552,Nécropole punique (Parc des thermes d'antonin),Four punique,151,0.15,1.8,0.7,0.3
1553,Nécropole punique (Parc des thermes d'antonin),Maison de la cachette,190,0.19,2.3,0.9,0.4
1554,Nécropole punique (Parc des thermes d'antonin),Tombe de la Nécropole punique,8,0.01,0.1,0.0,0.0
1555,Nécropole punique (Parc des thermes d'antonin),Basiliques byzantines,128,0.13,1.5,0.6,0.3
1556,Nécropole punique (Parc des thermes d'antonin),Scholla,103,0.1,1.2,0.5,0.2
1557,Nécropole punique (Parc des thermes d'antonin),Maison de Dionysos,51,0.05,0.6,0.2,0.1
1558,Nécropole punique (Parc des thermes d'antonin),Thermes d'Antonin,86,0.09,1.0,0.4,0.2
1559,Nécropole punique (Parc des thermes d'antonin),Latrines publiques,111,0.11,1.3,0.5,0.2
1560,Nécropole punique (Parc des thermes d'antonin),Quartier Magon,418,0.42,5.0,1.9,0.8
1561,Nécropole punique (Parc des thermes d'antonin),Tophet,1785,1.79,21.4,8.2,3.6
