user_id;preference_fonction;preference_epoque;mobilite;transport;budget_max;duree_visite_min;zone;type_tarif;nb_pois;liste_pois
user_758;habitation, musee, Equipement;Romaine, Beylicale Houssainite, Punique;normale;taxi;130;167;Carthage;étudiant;4;Parc des villas romaines | Quartier Magon | Beit El Hikma | Ports puniques
user_759;habitation, musee, Equipement;Beylicale Houssainite;réduite;voiture;72;90;Carthage;enfant;3;Beit El Hikma | Quartier Magon | Parc des villas romaines
user_760;Equipement;Romaine, Punique, Coloniale;normale;voiture;112;210;Carthage;enseignant;6;Ports puniques | Parc des villas romaines | Theatre | Quartier Magon | La colline de Byrsa | Tophet
user_761;religieux;Romaine;réduite;taxi;185;220;Carthage;enseignant;9;"Theatre | Parc des villas romaines | Quartier Magon | Ports puniques | antonin)"",  | ,  | ,  | , "
user_762;musee, culturel, religieux;Coloniale, Romaine;réduite;voiture;102;124;Carthage;étudiant;6;Musee Oceanographique (Dar El Hout) | Theatre | La colline de Byrsa | Parc des villas romaines | Tophet | Quartier Magon
user_763;culturel, musee, habitation;Beylicale Houssainite;normale;taxi;194;139;Carthage;étranger;9;Beit El Hikma | Tophet | Theatre | La colline de Byrsa | Musee Oceanographique (Dar El Hout) | Quartier Magon | Parc des villas romaines | Ports puniques
user_764;culturel, habitation, musee;Punique, Romaine, Beylicale Houssainite;réduite;vélo;85;155;Carthage;enseignant;6;Tophet | Quartier Magon | La colline de Byrsa | Parc des villas romaines | Theatre | Ports puniques
user_765;Equipement, religieux;Romaine, Punique;normale;vélo;96;130;Carthage;étranger;8;"Ports puniques | Parc des villas romaines | Theatre | Quartier Magon | La colline de Byrsa | antonin)"",  | , "
user_766;Equipement, culturel, habitation;Beylicale Houssainite, Coloniale;normale;taxi;145;157;Carthage;enseignant;6;Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa
user_767;habitation;Beylicale Houssainite;réduite;voiture;144;175;Carthage;étudiant;9;Beit El Hikma | Quartier Magon | Parc des villas romaines | Ports puniques | Tophet | Theatre | La colline de Byrsa | Musee Oceanographique (Dar El Hout)
user_769;musee;Punique, Romaine;réduite;voiture;127;182;Carthage;retraité;9;"Ports puniques | Tophet | Quartier Magon | La colline de Byrsa | antonin)"",  | ,  | ,  | , "
user_771;culturel;Beylicale Houssainite, Romaine, Coloniale;normale;à pied;49;130;Carthage;étranger;6;Theatre | Beit El Hikma | La colline de Byrsa | Parc des villas romaines | Tophet | Quartier Magon
user_773;musee;Romaine, Coloniale, Punique;réduite;vélo;90;170;Carthage;étudiant;7;Musee Oceanographique (Dar El Hout) | Parc des villas romaines | Theatre | Quartier Magon | Ports puniques | La colline de Byrsa | Tophet
user_774;culturel, Equipement;Beylicale Houssainite;réduite;à pied;29;95;Carthage;retraité;4;Beit El Hikma | Tophet | Theatre | La colline de Byrsa
user_778;culturel, Equipement, religieux;Romaine;normale;taxi;130;204;Carthage;enseignant;3;Theatre | La colline de Byrsa | Parc des villas romaines
user_779;culturel;Coloniale;normale;voiture;122;160;Carthage;enseignant;9;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Ports puniques | Quartier Magon | Beit El Hikma | Parc des villas romaines
user_781;musee;Beylicale Houssainite;réduite;vélo;50;168;Carthage;resident;3;Beit El Hikma | Musee Oceanographique (Dar El Hout) | Ports puniques
user_782;Equipement, habitation, musee;Punique;normale;voiture;89;230;Carthage;étranger;4;Ports puniques | Quartier Magon | Tophet
user_783;religieux, musee;Beylicale Houssainite, Punique;réduite;voiture;120;226;Carthage;enfant;9;"Beit El Hikma | antonin)"",  | ,  | ,  | ,  | ,  | ,  | , "
user_786;musee;Punique, Romaine;normale;vélo;85;217;Carthage;enfant;6;"Ports puniques | Tophet | Quartier Magon | La colline de Byrsa | antonin)"", "
user_787;habitation, religieux, culturel;Beylicale Houssainite, Romaine, Punique;réduite;vélo;48;94;Carthage;enseignant;3;Beit El Hikma | Parc des villas romaines | Quartier Magon
user_788;Equipement, musee;Romaine, Coloniale;réduite;voiture;114;218;Carthage;resident;8;Ports puniques | Theatre | Parc des villas romaines | Musee Oceanographique (Dar El Hout) | Quartier Magon | La colline de Byrsa | Tophet | Beit El Hikma
user_789;habitation;Romaine;normale;taxi;136;101;Carthage;étudiant;5;Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | Ports puniques
user_793;Equipement, culturel, habitation;Punique, Beylicale Houssainite;normale;taxi;180;115;Carthage;étranger;9;"Ports puniques | Tophet | La colline de Byrsa | Quartier Magon | antonin)"",  | ,  | ,  | , "
user_796;musee, religieux, culturel;Romaine, Punique;normale;à pied;43;231;Carthage;enfant;4;Theatre | Parc des villas romaines | La colline de Byrsa | Quartier Magon
user_797;musee, culturel, habitation;Romaine;réduite;à pied;29;208;Carthage;enfant;3;Theatre | Parc des villas romaines | La colline de Byrsa
user_798;religieux, Equipement, habitation;Punique, Romaine, Coloniale;réduite;vélo;88;169;Carthage;resident;6;"Ports puniques | antonin)"",  | ,  | ,  | , "
user_799;musee;Beylicale Houssainite, Romaine;réduite;taxi;158;163;Carthage;étudiant;7;Beit El Hikma | Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | Quartier Magon | Ports puniques | La colline de Byrsa
user_805;religieux, Equipement;Beylicale Houssainite;normale;taxi;136;107;Carthage;retraité;5;"Beit El Hikma | antonin)"",  | ,  | , "
user_808;habitation, musee;Romaine, Punique, Beylicale Houssainite;réduite;vélo;95;111;Carthage;resident;8;Parc des villas romaines | Quartier Magon | Beit El Hikma | Theatre | Ports puniques | La colline de Byrsa | Tophet
user_809;habitation, culturel, religieux;Beylicale Houssainite;normale;à pied;36;108;Carthage;resident;5;Beit El Hikma | Quartier Magon | Parc des villas romaines | Tophet | Theatre
user_811;religieux, culturel;Romaine;normale;taxi;148;205;Carthage;retraité;5;Theatre | Parc des villas romaines | La colline de Byrsa | Quartier Magon | Ports puniques
user_812;religieux;Coloniale, Romaine;réduite;à pied;47;221;Carthage;étudiant;5;"Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | antonin)"", "
user_813;religieux, culturel, Equipement;Coloniale, Punique;normale;vélo;98;223;Carthage;étudiant;9;"Tophet | Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | ,  | ,  | , "
user_814;culturel;Romaine;réduite;vélo;96;137;Carthage;resident;8;Theatre | La colline de Byrsa | Parc des villas romaines | Tophet | Quartier Magon | Ports puniques | Beit El Hikma | Musee Oceanographique (Dar El Hout)
user_815;Equipement;Beylicale Houssainite, Romaine, Punique;réduite;voiture;110;189;Carthage;étudiant;7;Ports puniques | Beit El Hikma | Theatre | Parc des villas romaines | Quartier Magon | Tophet | La colline de Byrsa
user_816;habitation;Coloniale, Punique, Romaine;réduite;taxi;164;155;Carthage;étranger;8;"Quartier Magon | Parc des villas romaines | Musee Oceanographique (Dar El Hout) | Ports puniques | Tophet | Beit El Hikma | antonin)"", "
user_817;musee;Romaine, Coloniale;réduite;taxi;189;143;Carthage;étudiant;9;Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | Quartier Magon | Ports puniques | La colline de Byrsa | Tophet | Beit El Hikma
user_819;habitation;Coloniale;réduite;taxi;198;91;Carthage;enseignant;9;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques | Tophet | Theatre | La colline de Byrsa
user_822;Equipement;Romaine, Beylicale Houssainite;réduite;voiture;80;94;Carthage;resident;3;Ports puniques | Theatre | Parc des villas romaines
user_823;religieux;Punique, Beylicale Houssainite, Romaine;normale;vélo;81;129;Carthage;retraité;6;"antonin)"",  | ,  | ,  | ,  | , "
user_824;Equipement;Beylicale Houssainite, Coloniale, Romaine;réduite;voiture;100;118;Carthage;étudiant;7;Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | Quartier Magon | La colline de Byrsa
user_825;habitation, musee;Punique, Romaine;normale;voiture;79;147;Carthage;étudiant;3;Quartier Magon | Parc des villas romaines | Ports puniques
user_826;habitation;Punique;réduite;vélo;78;132;Carthage;resident;5;Quartier Magon | Tophet | Parc des villas romaines | Ports puniques
user_827;habitation, musee, culturel;Coloniale;réduite;à pied;18;149;Carthage;enseignant;3;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma
user_828;religieux;Beylicale Houssainite, Romaine, Coloniale;normale;vélo;90;180;Carthage;enseignant;8;"Beit El Hikma | Theatre | Parc des villas romaines | Quartier Magon | Ports puniques | antonin)"",  | , "
user_829;culturel;Coloniale;normale;vélo;75;170;Carthage;étudiant;5;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Ports puniques
user_830;culturel, musee, Equipement;Romaine;normale;à pied;47;219;Carthage;enfant;5;Theatre | La colline de Byrsa | Parc des villas romaines | Ports puniques | Tophet
user_831;habitation;Coloniale;normale;voiture;102;176;Carthage;étranger;7;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques | Tophet | Theatre
user_832;musee;Beylicale Houssainite, Coloniale;réduite;voiture;89;151;Carthage;enfant;5;Musee Oceanographique (Dar El Hout) | Beit El Hikma | Ports puniques | Quartier Magon | Tophet
user_833;Equipement, musee;Beylicale Houssainite, Romaine, Coloniale;normale;taxi;186;207;Carthage;étudiant;9;Ports puniques | Beit El Hikma | Theatre | Parc des villas romaines | Musee Oceanographique (Dar El Hout) | Quartier Magon | La colline de Byrsa | Tophet
user_835;culturel;Coloniale, Romaine;normale;à pied;43;232;Carthage;étudiant;5;Theatre | Musee Oceanographique (Dar El Hout) | La colline de Byrsa | Tophet | Parc des villas romaines
user_837;Equipement, musee;Romaine, Beylicale Houssainite, Punique;réduite;vélo;88;193;Carthage;enseignant;7;Ports puniques | Parc des villas romaines | Theatre | Quartier Magon | Beit El Hikma | La colline de Byrsa | Tophet
user_838;religieux, Equipement, musee;Romaine;réduite;taxi;152;191;Carthage;enseignant;5;Theatre | Parc des villas romaines | Ports puniques | Quartier Magon
user_839;culturel;Romaine, Punique;réduite;à pied;38;200;Carthage;enseignant;4;Theatre | La colline de Byrsa | Tophet | Parc des villas romaines
user_841;culturel;Coloniale, Romaine, Beylicale Houssainite;réduite;à pied;25;237;Carthage;étudiant;3;Theatre | Musee Oceanographique (Dar El Hout) | La colline de Byrsa
user_842;musee, habitation, religieux;Coloniale, Romaine;réduite;vélo;81;208;Carthage;étranger;7;Musee Oceanographique (Dar El Hout) | Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | Ports puniques | La colline de Byrsa
user_844;religieux;Coloniale;réduite;taxi;193;104;Carthage;étranger;9;"Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | ,  | ,  | ,  | , "
user_846;culturel;Coloniale, Beylicale Houssainite, Romaine;normale;vélo;52;179;Carthage;enfant;3;Theatre | Musee Oceanographique (Dar El Hout) | Beit El Hikma
user_847;religieux, habitation;Romaine;normale;vélo;64;150;Carthage;étranger;3;Parc des villas romaines | Theatre | Quartier Magon
user_848;Equipement;Punique, Coloniale, Beylicale Houssainite;normale;vélo;66;122;Carthage;enfant;4;Ports puniques | Tophet | Quartier Magon
user_849;musee, habitation, Equipement;Punique, Romaine, Beylicale Houssainite;réduite;à pied;42;160;Carthage;étudiant;4;Quartier Magon | Parc des villas romaines | Ports puniques | Tophet
user_850;religieux, culturel, musee;Coloniale;réduite;à pied;35;124;Carthage;étranger;4;"Musee Oceanographique (Dar El Hout) | antonin)"",  | , "
user_851;culturel, religieux, habitation;Romaine, Punique;normale;à pied;30;208;Carthage;enfant;3;Theatre | La colline de Byrsa | Parc des villas romaines
user_853;religieux;Beylicale Houssainite, Coloniale;normale;à pied;14;231;Carthage;resident;3;Beit El Hikma | Musee Oceanographique (Dar El Hout)
user_854;culturel, religieux;Beylicale Houssainite, Punique;normale;voiture;122;173;Carthage;retraité;9;"Tophet | Beit El Hikma | La colline de Byrsa | antonin)"",  | ,  | ,  | ,  | , "
user_855;habitation, musee;Romaine;réduite;à pied;40;210;Carthage;retraité;5;Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | Ports puniques
user_856;religieux;Beylicale Houssainite;réduite;taxi;144;151;Carthage;retraité;5;"Beit El Hikma | antonin)"",  | ,  | , "
user_858;musee;Coloniale, Beylicale Houssainite, Romaine;réduite;à pied;41;185;Carthage;resident;6;Musee Oceanographique (Dar El Hout) | Beit El Hikma | Theatre | Parc des villas romaines | Quartier Magon | Ports puniques
user_859;culturel, musee, Equipement;Punique;normale;à pied;39;193;Carthage;étranger;4;Tophet | Ports puniques | La colline de Byrsa
user_862;Equipement, religieux;Romaine, Beylicale Houssainite;normale;voiture;150;116;Carthage;étranger;9;"Ports puniques | Theatre | Parc des villas romaines | Quartier Magon | La colline de Byrsa | Beit El Hikma | Tophet | antonin)"", "
user_864;Equipement, musee;Beylicale Houssainite;réduite;taxi;193;185;Carthage;resident;9;Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Quartier Magon | Tophet | Parc des villas romaines | Theatre | La colline de Byrsa
user_865;Equipement;Beylicale Houssainite;réduite;taxi;163;213;Carthage;étranger;8;Beit El Hikma | Ports puniques | Quartier Magon | Tophet | Parc des villas romaines | Theatre | La colline de Byrsa | Musee Oceanographique (Dar El Hout)
user_867;habitation, religieux;Coloniale, Punique;réduite;voiture;79;150;Carthage;étranger;3;Quartier Magon | Musee Oceanographique (Dar El Hout) | Parc des villas romaines
user_868;habitation;Punique, Beylicale Houssainite;normale;voiture;132;200;Carthage;étudiant;9;"Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques | Tophet | antonin)"",  | ,  | , "
user_869;Equipement, religieux;Romaine, Punique, Coloniale;normale;vélo;74;175;Carthage;enfant;4;Ports puniques | Parc des villas romaines | Theatre | Quartier Magon
user_872;culturel, habitation;Beylicale Houssainite;réduite;voiture;72;108;Carthage;étranger;3;Beit El Hikma | Tophet | Theatre
user_873;religieux, culturel, Equipement;Coloniale, Punique;réduite;taxi;164;108;Carthage;étudiant;7;"Tophet | Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | , "
user_875;religieux;Beylicale Houssainite;normale;vélo;66;138;Carthage;resident;5;"Beit El Hikma | antonin)"",  | ,  | , "
user_876;habitation, culturel;Romaine, Coloniale, Beylicale Houssainite;normale;taxi;194;172;Carthage;étudiant;9;Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | La colline de Byrsa | Musee Oceanographique (Dar El Hout) | Ports puniques | Tophet
user_878;culturel, musee, Equipement;Coloniale;réduite;voiture;135;111;Carthage;enseignant;9;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Ports puniques | Quartier Magon | Beit El Hikma | Parc des villas romaines
user_879;religieux, musee;Coloniale, Punique, Beylicale Houssainite;normale;taxi;125;106;Carthage;resident;3;"Musee Oceanographique (Dar El Hout) | antonin)"", "
user_881;religieux;Beylicale Houssainite, Coloniale, Romaine;réduite;taxi;176;215;Carthage;étudiant;9;"Beit El Hikma | Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | ,  | ,  | , "
user_882;religieux;Beylicale Houssainite, Coloniale, Punique;normale;à pied;29;195;Carthage;resident;4;"Beit El Hikma | antonin)"",  | , "
user_883;culturel;Romaine, Punique;réduite;voiture;142;207;Carthage;étudiant;9;"Theatre | La colline de Byrsa | Tophet | Parc des villas romaines | Quartier Magon | Ports puniques | antonin)"",  | , "
user_884;religieux, Equipement;Coloniale, Beylicale Houssainite;normale;taxi;186;125;Carthage;resident;9;"Musee Oceanographique (Dar El Hout) | Beit El Hikma | antonin)"",  | ,  | ,  | ,  | ,  | , "
user_885;religieux, musee, habitation;Beylicale Houssainite, Romaine, Coloniale;normale;taxi;195;215;Carthage;enseignant;9;"Beit El Hikma | Parc des villas romaines | Musee Oceanographique (Dar El Hout) | Theatre | Quartier Magon | Ports puniques | antonin)"",  | , "
user_886;musee, habitation;Romaine;normale;vélo;78;193;Carthage;enfant;5;Parc des villas romaines | Theatre | Quartier Magon | Musee Oceanographique (Dar El Hout) | Ports puniques
user_889;religieux, habitation;Romaine, Punique;réduite;taxi;188;238;Carthage;étranger;9;"Parc des villas romaines | Quartier Magon | Theatre | antonin)"",  | ,  | ,  | ,  | , "
user_890;musee, religieux;Beylicale Houssainite;normale;vélo;87;200;Carthage;étudiant;7;"Beit El Hikma | Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon | Tophet | antonin)"", "
user_891;habitation, religieux;Punique, Romaine;réduite;vélo;94;218;Carthage;enseignant;8;"Quartier Magon | Parc des villas romaines | antonin)"",  | ,  | ,  | ,  | , "
user_892;Equipement;Romaine, Beylicale Houssainite;réduite;voiture;127;210;Carthage;enfant;9;Ports puniques | Theatre | Parc des villas romaines | Quartier Magon | La colline de Byrsa | Beit El Hikma | Tophet | Musee Oceanographique (Dar El Hout)
user_894;habitation, musee;Beylicale Houssainite, Romaine;normale;voiture;143;235;Carthage;resident;9;Beit El Hikma | Parc des villas romaines | Quartier Magon | Theatre | Ports puniques | Musee Oceanographique (Dar El Hout) | La colline de Byrsa | Tophet
user_895;culturel;Punique;normale;à pied;41;191;Carthage;étranger;4;Tophet | La colline de Byrsa | Ports puniques
user_896;religieux;Coloniale;normale;voiture;150;177;Carthage;enseignant;9;"Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | ,  | ,  | ,  | , "
user_898;musee, Equipement;Beylicale Houssainite, Romaine, Punique;normale;taxi;127;182;Carthage;étudiant;4;Beit El Hikma | Ports puniques | Theatre | Parc des villas romaines
user_899;Equipement, religieux, culturel;Beylicale Houssainite, Coloniale, Romaine;normale;à pied;44;125;Carthage;enfant;6;Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | Quartier Magon
user_900;religieux, musee;Coloniale, Beylicale Houssainite, Punique;réduite;voiture;148;134;Carthage;étranger;9;"Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | ,  | ,  | ,  | , "
user_901;religieux, Equipement, culturel;Coloniale;normale;vélo;56;90;Carthage;enfant;3;Musee Oceanographique (Dar El Hout) | Ports puniques
user_903;culturel, musee;Punique, Beylicale Houssainite, Coloniale;normale;taxi;155;222;Carthage;étudiant;7;"Tophet | La colline de Byrsa | Ports puniques | Quartier Magon | antonin)"",  | , "
user_906;musee, religieux, habitation;Romaine, Beylicale Houssainite, Coloniale;normale;voiture;76;108;Carthage;resident;3;Parc des villas romaines | Theatre | Beit El Hikma
user_908;Equipement, culturel, habitation;Romaine, Punique;normale;à pied;27;209;Carthage;enseignant;3;Ports puniques | Theatre | Parc des villas romaines
user_910;habitation, culturel;Punique;normale;voiture;106;139;Carthage;enseignant;7;"Quartier Magon | Tophet | Parc des villas romaines | Ports puniques | La colline de Byrsa | antonin)"", "
user_912;musee, Equipement;Beylicale Houssainite;réduite;taxi;149;189;Carthage;enfant;6;Beit El Hikma | Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon | Tophet | Parc des villas romaines
user_913;culturel;Coloniale, Punique, Romaine;réduite;taxi;158;145;Carthage;étudiant;6;Tophet | La colline de Byrsa | Theatre | Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon
user_915;habitation, Equipement, culturel;Coloniale;normale;à pied;17;220;Carthage;étudiant;3;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma
user_917;habitation;Coloniale;réduite;à pied;14;205;Carthage;retraité;3;Musee Oceanographique (Dar El Hout) | Quartier Magon | Beit El Hikma
user_922;religieux, musee, culturel;Beylicale Houssainite, Punique;normale;voiture;96;209;Carthage;étudiant;6;"Beit El Hikma | antonin)"",  | ,  | ,  | , "
user_923;habitation;Romaine;normale;taxi;147;231;Carthage;enseignant;6;Parc des villas romaines | Quartier Magon | Theatre | Beit El Hikma | Ports puniques | La colline de Byrsa
user_924;religieux, musee;Punique, Romaine, Beylicale Houssainite;normale;voiture;114;148;Carthage;étudiant;8;"antonin)"",  | ,  | ,  | ,  | ,  | ,  | , "
user_925;musee, culturel, Equipement;Punique, Romaine;réduite;vélo;90;218;Carthage;enfant;6;Tophet | Ports puniques | La colline de Byrsa | Quartier Magon | Theatre
user_927;musee;Coloniale, Romaine, Beylicale Houssainite;normale;vélo;71;235;Carthage;enseignant;6;Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | Quartier Magon | Ports puniques | Beit El Hikma
user_928;musee, habitation;Punique, Beylicale Houssainite;réduite;taxi;135;137;Carthage;retraité;4;Quartier Magon | Ports puniques | Tophet | Beit El Hikma
user_930;culturel, religieux;Beylicale Houssainite;normale;voiture;141;236;Carthage;étudiant;9;"Beit El Hikma | Tophet | Theatre | La colline de Byrsa | Ports puniques | Quartier Magon | antonin)"",  | , "
user_931;habitation, culturel, religieux;Beylicale Houssainite;normale;voiture;148;126;Carthage;retraité;9;Beit El Hikma | Quartier Magon | Parc des villas romaines | Tophet | Theatre | La colline de Byrsa | Ports puniques | Musee Oceanographique (Dar El Hout)
user_932;musee;Coloniale, Punique, Romaine;normale;voiture;102;197;Carthage;étranger;6;"Musee Oceanographique (Dar El Hout) | Ports puniques | Tophet | Quartier Magon | antonin)"", "
user_934;habitation, musee, culturel;Beylicale Houssainite;réduite;voiture;123;185;Carthage;étranger;9;Beit El Hikma | Quartier Magon | Parc des villas romaines | Musee Oceanographique (Dar El Hout) | Tophet | Ports puniques | Theatre | La colline de Byrsa
user_936;religieux, Equipement;Coloniale, Beylicale Houssainite;normale;vélo;90;207;Carthage;resident;8;"Musee Oceanographique (Dar El Hout) | Beit El Hikma | antonin)"",  | ,  | ,  | ,  | , "
user_937;culturel;Coloniale;normale;à pied;38;132;Carthage;retraité;4;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa
user_938;habitation;Punique, Beylicale Houssainite;réduite;à pied;29;195;Carthage;étranger;4;Quartier Magon | Beit El Hikma | Parc des villas romaines | Ports puniques
user_939;habitation, Equipement, musee;Punique;réduite;vélo;87;153;Carthage;resident;7;"Ports puniques | Quartier Magon | Tophet | Parc des villas romaines | antonin)"",  | , "
user_940;musee, habitation, culturel;Beylicale Houssainite;réduite;taxi;136;170;Carthage;retraité;5;Beit El Hikma | Musee Oceanographique (Dar El Hout) | Quartier Magon | Parc des villas romaines | Tophet
user_941;habitation, culturel;Coloniale, Romaine, Beylicale Houssainite;réduite;taxi;176;218;Carthage;enseignant;9;Parc des villas romaines | Theatre | Quartier Magon | Beit El Hikma | Musee Oceanographique (Dar El Hout) | La colline de Byrsa | Ports puniques | Tophet
user_943;culturel, habitation;Beylicale Houssainite, Punique, Coloniale;réduite;taxi;195;128;Carthage;enseignant;9;"Tophet | Beit El Hikma | La colline de Byrsa | Quartier Magon | Ports puniques | Parc des villas romaines | Theatre | antonin)"", "
user_944;musee, Equipement;Romaine, Beylicale Houssainite, Coloniale;normale;à pied;31;159;Carthage;enfant;3;Theatre | Ports puniques | Parc des villas romaines
user_945;Equipement, musee;Beylicale Houssainite, Coloniale;normale;voiture;95;137;Carthage;enseignant;6;Beit El Hikma | Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon | Tophet | Parc des villas romaines
user_946;religieux, culturel, Equipement;Romaine, Beylicale Houssainite, Coloniale;réduite;voiture;137;136;Carthage;retraité;9;"Theatre | La colline de Byrsa | Parc des villas romaines | Ports puniques | Beit El Hikma | Quartier Magon | antonin)"",  | , "
user_947;culturel;Coloniale;normale;taxi;169;235;Carthage;enfant;9;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Ports puniques | Quartier Magon | Beit El Hikma | Parc des villas romaines
user_948;religieux;Coloniale;normale;taxi;181;206;Carthage;resident;9;"Musee Oceanographique (Dar El Hout) | antonin)"",  | ,  | ,  | ,  | ,  | ,  | , "
user_949;culturel, habitation, Equipement;Beylicale Houssainite, Romaine, Coloniale;réduite;à pied;31;178;Carthage;enfant;4;Beit El Hikma | Theatre | Parc des villas romaines | La colline de Byrsa
user_950;religieux;Punique;normale;taxi;150;101;Carthage;enfant;5;"antonin)"",  | ,  | ,  | , "
user_951;musee;Coloniale, Romaine, Punique;normale;à pied;43;225;Carthage;étudiant;5;Musee Oceanographique (Dar El Hout) | Theatre | Parc des villas romaines | Ports puniques | Quartier Magon
user_952;habitation, culturel;Punique, Beylicale Houssainite;réduite;vélo;72;238;Carthage;enfant;5;Quartier Magon | Tophet | Beit El Hikma | Parc des villas romaines | La colline de Byrsa
user_953;culturel, musee;Coloniale, Beylicale Houssainite;normale;taxi;199;101;Carthage;étranger;9;Musee Oceanographique (Dar El Hout) | Tophet | Theatre | La colline de Byrsa | Beit El Hikma | Ports puniques | Quartier Magon | Parc des villas romaines
user_955;Equipement;Coloniale;réduite;vélo;69;169;Carthage;enfant;5;Musee Oceanographique (Dar El Hout) | Ports puniques | Quartier Magon | Tophet | Beit El Hikma
user_956;culturel, Equipement, musee;Punique;normale;voiture;98;92;Carthage;étranger;5;"Tophet | Ports puniques | La colline de Byrsa | antonin)"", "
user_957;culturel;Romaine, Beylicale Houssainite;normale;vélo;69;237;Carthage;resident;4;Theatre | La colline de Byrsa | Parc des villas romaines | Quartier Magon
user_958;musee, culturel, habitation;Punique;normale;vélo;57;204;Carthage;enseignant;3;Tophet | La colline de Byrsa | Quartier Magon
user_960;habitation, culturel, musee;Beylicale Houssainite, Coloniale, Punique;normale;vélo;82;231;Carthage;resident;7;Beit El Hikma | Quartier Magon | Musee Oceanographique (Dar El Hout) | Tophet | Parc des villas romaines | La colline de Byrsa | Ports puniques
user_962;Equipement, habitation, musee;Beylicale Houssainite;normale;voiture;89;199;Carthage;enfant;5;Beit El Hikma | Ports puniques | Quartier Magon | Parc des villas romaines | Musee Oceanographique (Dar El Hout)
user_963;religieux, Equipement;Punique, Romaine, Coloniale;normale;vélo;79;120;Carthage;resident;5;"Ports puniques | antonin)"",  | ,  | , "
user_964;Equipement;Romaine;réduite;à pied;33;236;Carthage;enfant;3;Ports puniques | Theatre | Parc des villas romaines
user_965;Equipement, culturel, habitation;Coloniale, Romaine, Beylicale Houssainite;normale;à pied;40;158;Carthage;étudiant;4;Theatre | Ports puniques | Musee Oceanographique (Dar El Hout) | Parc des villas romaines
user_968;musee, religieux;Beylicale Houssainite, Coloniale;réduite;voiture;78;144;Carthage;resident;4;Musee Oceanographique (Dar El Hout) | Beit El Hikma | Ports puniques | Quartier Magon
user_970;habitation, Equipement, religieux;Beylicale Houssainite;normale;à pied;39;176;Carthage;retraité;5;Beit El Hikma | Quartier Magon | Parc des villas romaines | Ports puniques | Tophet
user_971;Equipement, musee;Romaine;réduite;voiture;83;208;Carthage;étranger;3;Ports puniques | Theatre | Parc des villas romaines
user_972;musee;Romaine, Coloniale, Punique;réduite;à pied;42;108;Carthage;étudiant;5;Musee Oceanographique (Dar El Hout) | Parc des villas romaines | Theatre | Quartier Magon | Ports puniques
user_973;Equipement;Beylicale Houssainite, Coloniale;réduite;voiture;88;140;Carthage;retraité;5;Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Quartier Magon | Tophet
user_974;musee, culturel, religieux;Beylicale Houssainite, Coloniale, Romaine;normale;vélo;95;200;Carthage;retraité;8;Musee Oceanographique (Dar El Hout) | Beit El Hikma | Theatre | La colline de Byrsa | Tophet | Parc des villas romaines | Quartier Magon | Ports puniques
user_975;Equipement, musee;Beylicale Houssainite;réduite;vélo;93;202;Carthage;étudiant;8;Beit El Hikma | Ports puniques | Musee Oceanographique (Dar El Hout) | Quartier Magon | Tophet | Parc des villas romaines | Theatre | La colline de Byrsa
